image,label
Road03/Record008/Camera 6/171206_030908613_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030908613_Camera_6_bin.png
Road03/Record002/Camera 6/171206_025851369_Camera_6.jpg,Label_road03/Label/Record002/Camera 6/171206_025851369_Camera_6_bin.png
Road04/Record001/Camera 5/171206_054201421_Camera_5.jpg,Label_road04/Label/Record001/Camera 5/171206_054201421_Camera_5_bin.png
Road02/Record001/Camera 5/170927_063841202_Camera_5.jpg,Label_road02/Label/Record001/Camera 5/170927_063841202_Camera_5_bin.png
Road02/Record005/Camera 5/170927_064415312_Camera_5.jpg,Label_road02/Label/Record005/Camera 5/170927_064415312_Camera_5_bin.png
Road03/Record008/Camera 5/171206_030647711_Camera_5.jpg,Label_road03/Label/Record008/Camera 5/171206_030647711_Camera_5_bin.png
Road02/Record003/Camera 5/170927_064046089_Camera_5.jpg,Label_road02/Label/Record003/Camera 5/170927_064046089_Camera_5_bin.png
Road03/Record006/Camera 5/171206_030401467_Camera_5.jpg,Label_road03/Label/Record006/Camera 5/171206_030401467_Camera_5_bin.png
Road03/Record006/Camera 5/171206_030411130_Camera_5.jpg,Label_road03/Label/Record006/Camera 5/171206_030411130_Camera_5_bin.png
Road02/Record004/Camera 6/170927_064217230_Camera_6.jpg,Label_road02/Label/Record004/Camera 6/170927_064217230_Camera_6_bin.png
Road02/Record003/Camera 6/170927_064046613_Camera_6.jpg,Label_road02/Label/Record003/Camera 6/170927_064046613_Camera_6_bin.png
Road03/Record002/Camera 6/171206_025917014_Camera_6.jpg,Label_road03/Label/Record002/Camera 6/171206_025917014_Camera_6_bin.png
Road04/Record007/Camera 6/171206_055108432_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055108432_Camera_6_bin.png
Road03/Record003/Camera 6/171206_030045823_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030045823_Camera_6_bin.png
Road03/Record003/Camera 6/171206_030028371_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030028371_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030739863_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030739863_Camera_6_bin.png
Road04/Record002/Camera 6/171206_054310224_Camera_6.jpg,Label_road04/Label/Record002/Camera 6/171206_054310224_Camera_6_bin.png
Road04/Record004/Camera 5/171206_054640347_Camera_5.jpg,Label_road04/Label/Record004/Camera 5/171206_054640347_Camera_5_bin.png
Road04/Record006/Camera 6/171206_054821032_Camera_6.jpg,Label_road04/Label/Record006/Camera 6/171206_054821032_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030659160_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030659160_Camera_6_bin.png
Road04/Record006/Camera 5/171206_054934133_Camera_5.jpg,Label_road04/Label/Record006/Camera 5/171206_054934133_Camera_5_bin.png
Road03/Record001/Camera 6/171206_025802337_Camera_6.jpg,Label_road03/Label/Record001/Camera 6/171206_025802337_Camera_6_bin.png
Road04/Record007/Camera 6/171206_055145639_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055145639_Camera_6_bin.png
Road03/Record008/Camera 6/171206_030725910_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030725910_Camera_6_bin.png
Road03/Record003/Camera 5/171206_030022235_Camera_5.jpg,Label_road03/Label/Record003/Camera 5/171206_030022235_Camera_5_bin.png
Road02/Record001/Camera 5/170927_063831474_Camera_5.jpg,Label_road02/Label/Record001/Camera 5/170927_063831474_Camera_5_bin.png
Road02/Record005/Camera 6/170927_064358449_Camera_6.jpg,Label_road02/Label/Record005/Camera 6/170927_064358449_Camera_6_bin.png
Road03/Record006/Camera 6/171206_030518303_Camera_6.jpg,Label_road03/Label/Record006/Camera 6/171206_030518303_Camera_6_bin.png
Road04/Record004/Camera 5/171206_054630695_Camera_5.jpg,Label_road04/Label/Record004/Camera 5/171206_054630695_Camera_5_bin.png
Road02/Record005/Camera 5/170927_064414768_Camera_5.jpg,Label_road02/Label/Record005/Camera 5/170927_064414768_Camera_5_bin.png
Road03/Record008/Camera 6/171206_030607836_Camera_6.jpg,Label_road03/Label/Record008/Camera 6/171206_030607836_Camera_6_bin.png
Road03/Record001/Camera 6/171206_025805580_Camera_6.jpg,Label_road03/Label/Record001/Camera 6/171206_025805580_Camera_6_bin.png
Road03/Record002/Camera 5/171206_025909590_Camera_5.jpg,Label_road03/Label/Record002/Camera 5/171206_025909590_Camera_5_bin.png
Road03/Record001/Camera 5/171206_025806990_Camera_5.jpg,Label_road03/Label/Record001/Camera 5/171206_025806990_Camera_5_bin.png
Road04/Record007/Camera 6/171206_055209980_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055209980_Camera_6_bin.png
Road02/Record007/Camera 5/170927_064715243_Camera_5.jpg,Label_road02/Label/Record007/Camera 5/170927_064715243_Camera_5_bin.png
Road02/Record003/Camera 6/170927_064035095_Camera_6.jpg,Label_road02/Label/Record003/Camera 6/170927_064035095_Camera_6_bin.png
Road02/Record007/Camera 6/170927_064652298_Camera_6.jpg,Label_road02/Label/Record007/Camera 6/170927_064652298_Camera_6_bin.png
Road04/Record007/Camera 6/171206_055122975_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055122975_Camera_6_bin.png
Road02/Record004/Camera 6/170927_064228526_Camera_6.jpg,Label_road02/Label/Record004/Camera 6/170927_064228526_Camera_6_bin.png
Road04/Record002/Camera 6/171206_054316168_Camera_6.jpg,Label_road04/Label/Record002/Camera 6/171206_054316168_Camera_6_bin.png
Road04/Record007/Camera 6/171206_055138022_Camera_6.jpg,Label_road04/Label/Record007/Camera 6/171206_055138022_Camera_6_bin.png
Road04/Record005/Camera 6/171206_054750636_Camera_6.jpg,Label_road04/Label/Record005/Camera 6/171206_054750636_Camera_6_bin.png
Road03/Record003/Camera 6/171206_030024477_Camera_6.jpg,Label_road03/Label/Record003/Camera 6/171206_030024477_Camera_6_bin.png
Road02/Record007/Camera 5/170927_064618858_Camera_5.jpg,Label_road02/Label/Record007/Camera 5/170927_064618858_Camera_5_bin.png
